,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
0,2/07/2002,Cairns,Ship,Commercial,Port,"Trinity Inlet, Cairns Harbour",Diesel,Unknown
1,3/07/2002,Cairns,Unknown,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Bilge,Unknown
2,12/07/2002,Gladstone,Ship,Unknown,Coastal Waters,SE of Double Island Point,Bilge,Unknown
3,22/07/2002,Brisbane,Unknown,Unknown,Coastal Waters,"Town Reach, Brisbane River",Diesel,Unknown
4,1/08/2002,Gold Coast,Ship,Recreational,Coastal Waters,Canal area - Benowa,Diesel,Unknown
5,5/08/2002,Mackay,Ship,Fishing,Port,Mackay Harbour,Diesel,Unknown
6,7/08/2002,Townsville,Ship,Commercial,Port,"Ross Creek, Townsville",Diesel,Unknown
7,12/08/2002,Brisbane,Land,,Coastal Waters,Breakfast Creek,Diesel,Unknown
8,13/08/2002,Cairns,Ship,Recreational,Offshore,11°44.31'S; 143°05.059'E,Diesel,Unknown
9,15/08/2002,Townsville,Ship,Fishing,Port,"Fisherman's Wharf, Ross River",Diesel,Unknown
10,16/08/2002,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
11,20/08/2002,Cairns,Ship,Fishing,Port,"Evans Landing, Weipa",Diesel,Unknown
12,23/08/2002,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
13,25/08/2002,Brisbane,Land,,Port,Fisherman Island Berth #1&2,Cotton Seed Residue,Unknown
14,31/08/2002,Brisbane,Ship,Recreational,Coastal Waters,"Morton Bay Boat Club, Scarborough",Bilge,Unknown
15,2/09/2002,Cairns,Ship,Fishing,GBR,"09°57'S;142°56'E, western side of Dungeress Reef",Diesel,Unknown
16,2/09/2002,Gladstone,Ship,Trading,Coastal Waters,12 nm SSE of High Peak,Bilge,Unknown
17,8/09/2002,Brisbane,Land,,Port,"BP crude Terminal - Bulwer Island, Brisbane River",HFO,Unknown
18,9/09/2002,Cairns,Ship,Recreational,GBR,"Hospital Pt, Thursday Island",Diesel,Unknown
19,9/09/2002,Gladstone,Ship,Commercial,Port,RG Tanna Coal Terminal wharf,Hydraulic Oil,Unknown
20,14/09/2002,Mackay,Ship,Commercial,Coastal Waters,Shute Harbour,Bilge,Unknown
21,19/09/2002,Mackay,Ship,Recreational,Coastal Waters,Mackay Marina,Garbage,Unknown
22,28/09/2002,Gladstone,Ship,Trading,Coastal Waters,North Reef 23°10's;151°57'E,Bilge,Unknown
23,29/09/2002,Brisbane,Unknown,Unknown,Coastal Waters,"Saraha St Deagon, Brisbane River",Bilge,Unknown
24,1/10/2002,Brisbane,Unknown,Unknown,Port,"BP Products Berth, Pinkenba Reach Brisbane River",Diesel,Unknown
25,2/10/2002,Gladstone,Ship,Unknown,Coastal Waters,North East of Lady Musgrave Is,Bilge,Unknown
26,2/10/2002,Townsville,Ship,Fishing,GBR,Anzac Reef 18°43'S;147°53'E,Garbage,Unknown
27,7/10/2002,Brisbane,Land,,Port,Fisherman Island Berth #1&2,Diesel,Unknown
28,8/10/2002,Mackay,Ship,Trading,GBR,22°19.25'S;151°17.7'E,Bilge,Unknown
29,9/10/2002,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
30,19/10/2002,Brisbane,Ship,Trading,Port,"BP Products Berth, Pinkenba Reach Brisbane River",HFO,Unknown
31,19/10/2002,Brisbane,Unknown,Unknown,Coastal Waters,"Gardens Point, Brisbane River",Diesel,Unknown
32,23/10/2002,Brisbane,Ship,Recreational,Coastal Waters,"Kiwana Boat Ramp, Sunshine Coast",Diesel,Unknown
33,27/10/2002,Brisbane,Unknown,Unknown,Port,Caltex Fisherman Island Wharf,Diesel,Unknown
34,31/10/2002,Brisbane,Ship,Recreational,Coastal Waters,"Docksde Marina, Brisbane River",Bilge,Unknown
35,8/11/2002,Mackay,Ship,Recreational,GBR,"Tounge Bay, Whitsunday Island",Diesel,Unknown
36,11/11/2002,Gladstone,Ship,Recreational,Coastal Waters,"Tin Can Bay, Boat Ramp at Norman Point",Bilge,Unknown
37,13/11/2002,Brisbane,Ship,Recreational,Coastal Waters,"Scarborough Marina, MBBC",Diesel,Unknown
38,14/11/2002,Cairns,Ship,Recreational,Coastal Waters,Main Beach Thursday Island,Diesel,Unknown
39,18/11/2002,Mackay,Ship,Commercial,Coastal Waters,Shute Harbour,Bilge,Unknown
40,2/12/2002,Cairns,Ship,Commercial,GBR,vicinity of Three Isles,Diesel,Unknown
41,10/12/2002,Brisbane,Land,,Port,Caltex Products Wharf - Lyton,HFO,Unknown
42,10/12/2002,Cairns,Ship,Unknown,Coastal Waters,smith's creek,Diesel,Unknown
43,18/12/2002,Brisbane,Unknown,Unknown,Coastal Waters,Wellington Point,Paint,Unknown
44,21/12/2002,Brisbane,Ship,Recreational,Coastal Waters,"Scarborough Marina, MBBC",Diesel,Unknown
45,17/01/2003,Cairns,Ship,Recreational,Coastal Waters,"Port Douglas, Dickson Inlet",Diesel,Unknown
46,1/02/2003,Gladstone,Ship,Recreational,Port,Gladstone Marina,Diesel,Unknown
47,2/02/2003,Gladstone,Ship,Recreational,Port,Gladstone Marina,Diesel,Unknown
48,5/02/2003,Cairns,Ship,Unknown,Coastal Waters,"Endeavour River, Cooktown",Diesel,Unknown
49,6/02/2003,Mackay,Ship,Trading,GBR,hydrographers passage,Bilge,Unknown
50,11/02/2003,Mackay,Ship,Fishing,Coastal Waters,Abel Point Marina,Bilge,Unknown
51,12/02/2003,Cairns,Land,,Coastal Waters,"swampy creek, lakeland down",Tar,Unknown
52,12/02/2003,Mackay,Ship,Trading,Coastal Waters,65 nm ENE of Gladstone,Bilge,Unknown
53,19/02/2003,Brisbane,Ship,Trading,Port,Fisherman Island Berth #1&2,HFO,Unknown
54,20/02/2003,Brisbane,Unknown,Unknown,Port,"QCL - Bp Products Berth, Brisbane River",Diesel,Unknown
55,22/02/2003,Brisbane,Ship,Fishing,Port,Doboy Creek,Diesel,Unknown
56,24/02/2003,Mackay,Ship,Fishing,Coastal Waters,Mackay Marina,Diesel,Unknown
57,26/02/2003,Cairns,Ship,Commercial,Port,Cairns Inlet,Diesel,Unknown
58,27/02/2003,Brisbane,Ship,Unknown,Port,NW3 - NW8 North West Channel Moreton Bay,Diesel,Unknown
59,4/03/2003,Cairns,Unknown,Unknown,Port,cairns inlet,Diesel,Unknown
60,12/03/2003,Brisbane,Land,,Port,Caltex Wharf - Brisbane River,Bilge,Unknown
61,12/03/2003,Brisbane,Ship,Tanker,Port,"Shell Wharf, Brisbane River",HFO,Unknown
62,12/03/2003,Mackay,Ship,Fishing,Coastal Waters,Mackay Marina,Diesel,Unknown
63,14/03/2003,Brisbane,Unknown,Unknown,Coastal Waters,"Riverside Centre, Brisbane River",Diesel,Unknown
64,17/03/2003,Brisbane,Land,,Port,"Hamilton Reach, Brisbane River",Bilge,Unknown
65,18/03/2003,Brisbane,Land,,Port,Lytton - Quaritine Flats Reach,HFO,Unknown
66,24/03/2003,Brisbane,Unknown,Unknown,Port,E1 and E3 Eastern Channel - moreton bay,Diesel,Unknown
67,27/03/2003,Brisbane,Land,,Port,Maritime Berths 1&2,Tallo,Unknown
68,17/04/2003,Mackay,Ship,Unknown,GBR,10.5 nm NE Wigton Is - Whitsunday's,Diesel,Unknown
69,27/04/2003,Cairns,Ship,Fishing,Offshore,Turu Cay - 09°49'S; 141°26'E,Diesel,Unknown
70,28/04/2003,Brisbane,Land,,Port,Pinkenba,Petrol,Unknown
71,29/04/2003,Gladstone,Ship,Commercial,Coastal Waters,Rosslyn Bay Boat Harbour,Diesel,Unknown
72,6/05/2003,Brisbane,Ship,Recreational,Coastal Waters,"Moreton Bay Boat Club, Scarborough Harbour",Diesel,Unknown
73,10/05/2003,Mackay,Unknown,Unknown,GBR,Apostle Bay/Tongue Point - Whitsundays,Diesel,Unknown
74,11/05/2003,Mackay,Ship,Recreational,GBR,Sawmill Bay - 20°15'S; 148°56'E,Diesel,Unknown
75,14/05/2003,Cairns,Ship,Unknown,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
76,26/05/2003,Cairns,Ship,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
77,27/05/2003,Cairns,Ship,,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
78,28/05/2003,Brisbane,Land,,Coastal Waters,southbank,Diesel,Unknown
79,28/05/2003,Brisbane,Land,,Port,caltex crude berth - fisherman island,Diesel,Unknown
80,29/05/2003,Cairns,Ship,Unknown,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
81,30/05/2003,Cairns,Ship,Commercial,Port,Humbug Wharf - Weipa,Bilge,Unknown
82,31/05/2003,Brisbane,Ship,Trading,Port,Maritime Berths 1&2,HFO,Unknown
83,31/05/2003,Brisbane,Ship,Fishing,Port,"Raptis Wharf Colmslie, Brisbane River",Diesel,Unknown
84,25/06/2003,Brisbane,Unknown,Unknown,Coastal Waters,"Bulimba Reach, Brisbane River",Diesel,Unknown
85,4/07/2003,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
86,11/07/2003,Mackay,Ship,Fishing,Port,"Mackay Marina, Mackay",Diesel,Unknown
87,26/07/2003,Brisbane,Unknown,Unknown,Coastal,"East Brisbane Reach, Brisbane River",Sheen,Unknown
88,4/08/2003,Gladstone,Ship,Fishing,Coastal,Rosslyn Bay Boat Harbour,Diesel,Unknown
89,9/08/2003,Brisbane,Unknown,Unknown,Port,"Hemmant Barge Landing, Brisbane River",Sheen,Unknown
90,23/08/2003,Brisbane,Ship,Unknown,Port,Moreton Bay,Sheen,Unknown
91,10/09/2003,Brisbane,Ship,Trading,Port,"Fishermans Islands Coal Berth, Brisbane River",Hydraulic,Unknown
92,10/09/2003,Gladstone,Ship,Commercial,Port,"Fishermans  Landing, Gladstone",Hydraulic,Unknown
93,11/09/2003,Cairns,Ship,Defence,Port,Thursday Island,Diesel,Unknown
94,12/09/2003,Cairns,Ship,Recreational,Port,"Marlin Marina, Cairns",Bilge,Unknown
95,12/09/2003,Cairns,Ship,Unknown,Port,"Trinity Inlet, Cairns",Sheen,Unknown
96,23/09/2003,Brisbane,Unknown,Unknown,Port,"Fishermans Islands, Brisbane River",Sheen,Unknown
97,4/10/2003,Mackay,Ship,Commercial,Coastal,Shute Harbour,Sheen,Unknown
98,6/10/2003,Cairns,Ship,Unknown,Port,"Marlin Marina, Cairns",Diesel,Unknown
99,7/10/2003,Brisbane,Ship,Recreational,Port,"Newport Waterways, Scarborough",Sheen,Unknown
100,10/10/2003,Brisbane,Ship,Unknown,Port,"Scarbrogh Harbour, Brisbane",Sheen,Unknown
101,13/10/2003,Cairns,Ship,Unknown,Coastal,Port Douglas,Diesel,Unknown
102,16/10/2003,Cairns,Ship,Unknown,Coastal,Port Douglas,Bilge,Unknown
103,17/10/2003,Cairns,Ship,Trading,Coastal,"Flinders Group, Princess Charlote Bay FNQ",Fuel Oil,Unknown
104,24/10/2003,Brisbane,Ship,Defence,Port,"Maritime #1 Wharf, Brisbane River",Diesel,Unknown
105,28/10/2003,Brisbane,Ship,Oil Tanker,Port,"BP Refinery Wharf, Brisbane River",Crude,Unknown
106,29/10/2003,Mackay,Ship,Recreational,Coastal,Shute Harbour,Sheen,Unknown
107,30/10/2003,Cairns,Ship,Trading,Port,"Lorim Point, Weipa",Hydraulic,Unknown
108,8/11/2003,Brisbane,Ship,Commercial,Port,"Spitfire Channel, Moreton Bay",Hydraulic,Unknown
109,14/11/2003,Cairns,Ship,Recreational,Coastal,Port Douglas,Diesel,Unknown
110,16/11/2003,Cairns,Ship,Trading,Coastal,"Chillie Beach, Cape Weymouth, FNQ",Bilge,Unknown
111,18/11/2003,Brisbane,Ship,Oil Tanker,Port,"STS1 Anchorage, Moreton Bay",Bilge,Unknown
112,20/11/2003,Townsville,Land,,Port,"Shell Terminal, Berth 1, Townsville",Fuel Oil,Unknown
113,23/11/2003,Brisbane,Unknown,Unknown,Coastal,"Mooloola River, Sunshine Coast",Sheen,Unknown
114,4/12/2003,Mackay,Ship,Recreational,Port,"Mackay Marina, Mackay",Diesel,Unknown
115,5/12/2003,Brisbane,Land,,Coastal,"East Brisbane Reach, Brisbane River",Sheen,Unknown
116,7/12/2003,Brisbane,Ship,Trading,Port,Fishermans Islands Brisbane River,Hydraulic,Unknown
117,7/12/2003,Gladstone,Ship,Fishing,Offshore,"Hoskyn Island, Capricorn Bunker Group",Diesel,Unknown
118,9/12/2003,Cairns,Unknown,Unknown,Port,"Smiths Creek, Cairns",Sheen,Unknown
119,11/12/2003,Cairns,Unknown,Unknown,Port,"Firewood Creek, Cairns",Sheen,Unknown
120,12/12/2003,Cairns,Unknown,Unknown,Port,Thursday Island,Sheen,Unknown
121,17/12/2003,Brisbane,Ship,Oil Tanker,Port,"Brisbane Roads Anchorage, Moreton Bay",Hydraulic,Unknown
122,17/12/2003,Cairns,Ship,Fishing,Port,Evans Landing Weipa,Diesel,Unknown
123,17/12/2003,Cairns,Land,,Port,Thursday Island,Sheen,Unknown
124,18/12/2003,Cairns,Land,,Port,Horn Island Cargo Facility,Diesel,Unknown
125,22/12/2003,Mackay,Ship,Commercial,Coastal,"Mackay Marina, Mackay",Bilge,Unknown
126,26/12/2003,Brisbane,Ship,Commercial,Port,"Caincross Fitting out Wharf, Brisbane River",Hydraulic,Unknown
127,26/12/2003,Brisbane,Ship,Recreational,Coastal,"Caloundra Head, Sunshine Coast",Diesel,Unknown
128,27/12/2003,Cairns,Ship,Recreational,Coastal,"Half Moon Bay Marina, Cairns",Diesel,Unknown
129,9/01/2004,Cairns,Ship,Fishing,Port,"Firewood Creek, Cairns",Sheen,Unknown
130,11/01/2004,Brisbane,Unknown,Unknown,Coastal,"Newport Waterways, Scarborough",Sheen,Unknown
131,12/01/2004,Mackay,Ship,Commercial,Coastal,"Able Point Marina, Whitsunday",Bilge,Unknown
132,12/01/2004,Townsville,Ship,Trading,Coastal,"Queens Beach, Bowen",Bilge,Unknown
133,13/01/2004,Mackay,Ship,Trading,Coastal,"Hook Island, Whitsundays",Bilge,Unknown
134,15/01/2004,Mackay,Ship,Commercial,Coastal,"Able Point Marina, Whitsunday",Bilge,Unknown
135,16/01/2004,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Brisbane River",Sheen,Unknown
136,21/01/2004,Cairns,Ship,Trading,Port,"Tropical Reef Slipway, Trinity Inlet, Cairns",Diesel,Unknown
137,4/02/2004,Brisbane,Unknown,Unknown,Coastal,"Minyama Canals, Sunshine Coast",Diesel,Unknown
138,8/02/2004,Brisbane,Ship,Recreational,Port,"Newport Waterways, Scarborough",Bilge,Unknown
139,12/02/2004,Cairns,Ship,Trading,Coastal,Western entrance to Torres Strait,Bilge,Unknown
140,13/02/2004,Mackay,Unknown,Unknown,Port,"Mackay Marina, Mackay",Bilge,Unknown
141,14/02/2004,Brisbane,Ship,Commercial,Port,"Fishermans Islands, No 3, Moreton Bay",Diesel,Unknown
142,25/02/2004,Brisbane,Ship,Fishing,Port,"Bar Cutting, Moreton Bay",Sheen,Unknown
143,27/02/2004,Cairns,Unknown,Unknown,Port,"Wharf 6, Trinity Inlet, Cairns",Sheen,Unknown
144,2/04/2004,Brisbane,Aircraft,Helicopter,Port,"Kedron Brook Floodway, Brisbane",Avgas,Unknown
145,3/04/2004,Brisbane,Ship,Fishing,Coastal,"Newport Waterways, Scarborough",Diesel,Unknown
146,5/04/2004,Brisbane,Ship,Trading,Port,"Caltex, Fishermans Islands Berth",Sheen,Unknown
147,11/04/2004,Cairns,Ship,Recreational,Port,Thursday Island,Diesel,Unknown
148,12/04/2004,Brisbane,Ship,Recreational,Coastal,"Newport Waterways, Scarborough",Paint Dust,Unknown
149,15/04/2004,Brisbane,Unknown,Unknown,Coastal,"Barralong Canal, Buddina",Chemical,Unknown
150,18/04/2004,Cairns,Ship,Unknown,Port,"Main Wharf, Thursday Island",Sheen,Unknown
151,5/05/2004,Cairns,Land,Defence,Port,"Trinity Inlet, Cairns",Diesel,Unknown
152,16/05/2004,Mackay,Ship,Unknown,Coastal,"Blue Pearl Bay, Hayman Island, Whitsundays",Diesel,Unknown
153,19/05/2004,Brisbane,Ship,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
154,19/05/2004,Cairns,Ship,Fishing,Port,Thursday Island,Diesel,Unknown
155,21/05/2004,Brisbane,Ship,Recreational,Port,"Manly Marine, Brisbane",Diesel,Unknown
156,22/05/2004,Brisbane,Ship,Unknown,Port,"Lytton Reach, Brisbane River",Sheen,Unknown
157,22/05/2004,Cairns,Land,Unknown,Port,"Trinity Inlet, Cairns",Sheen,Unknown
158,24/05/2004,Brisbane,Ship,Fishing,Port,Gladstone Marina,Diesel,Unknown
159,24/05/2004,Gladstone,Ship,Fishing,Port,Gladstone Marina,Bilge,Unknown
160,25/05/2004,Brisbane,Ship,Unknown,Coastal,"Shaftston Reach, Brisbane River",Bilge,Unknown
161,27/05/2004,Cairns,Ship,Commercial,Port,Thursday Island,Bilge,Unknown
162,4/06/2004,Cairns,Unknown,Unknown,Port,"Trinity Inlet, Cairns",Diesel,Unknown
163,7/06/2004,Cairns,Unknown,Unknown,Port,"Trinity Inlet, Cairns",Diesel,Unknown
164,10/06/2004,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
165,10/06/2004,Cairns,Ship,Unknown,Port,Thursday Island,Bilge,Unknown
166,14/06/2004,Brisbane,Land,,Port,"Caltex, Fishermans Islands Berth",Fuel Oil,Unknown
167,2/07/2004,Brisbane,Ship,Commercial,Coastal Waters,"Brisbane River, Eagle St Pier",Sheen,Unknown
168,27/07/2004,Cairns,Ship,Commercial,Port,"Between D Finger CFB 1 & TR slipway, Trinity Inlet/ Smiths Creek",Bilge,20
169,29/07/2004,Cairns,Unknown,Unknown,Port,From Sinrab Point to Wharf 7,Sheen,50
170,29/07/2004,Mackay,Unknown,Unknown,GBRMP,"Tongue Bay, Whitsunday Island",Unknown,Unknown
171,30/07/2004,Brisbane,Helicopter,,Coastal Waters,"Helicopter Pontoon, South Bank Reach",Avgas,Unknown
172,30/07/2004,Cairns,Ship,Fishing,Port,D Finger Commercial Fishermans Base #1,Bilge,5
173,8/08/2004,Cairns,Ship,Trading,GBRMP,Fairway Channel near Pipin Reef,Sheen,Unknown
174,9/08/2004,Cairns,Ship,Unknown,Port,E. Finger Marlin Marina,Diesel,15
175,16/08/2004,Cairns,Land,Fishing,Port,"Main Wharf, Thursday Island",Sheen,6
176,16/08/2004,Mackay,Ship,Trading,GBRMP,5 nm NE High Peak Island,Bilge,Unknown
177,17/08/2004,Gladstone,Unknown,Unknown,GBRMP,Great Keppel Island,Bilge,Unknown
178,24/08/2004,Cairns,Ship,Commercial,Port,Thursday Island Harbour,Sheen,Unknown
179,24/08/2004,Cairns,Ship,Defence,Port,HMAS Cairns base form HMAS Ipswich,Diesel,2
180,2/09/2004,Brisbane,Land,,Coastal Waters,Storm water drain between North Key and William Jolly Bridge,Other,Unknown
181,7/09/2004,Brisbane,Ship,Commercial,Port,"Raptis Wharf, Brisbane River",Other,40
182,9/09/2004,Cairns,Unknown,Unknown,Port,Between #10 South Dolphin and naval base,Sheen,5
183,18/09/2004,Brisbane,Ship,Recreational,Port,"112 Quay St, Bulimba, Brisbane River",Diesel,5
184,28/09/2004,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolah River, Mooloolaba",Diesel,Unknown
185,28/09/2004,Cairns,Ship,Recreational,Port,Sail Fish Quay Marlin Marina,Bilge,60
186,29/09/2004,Townsville,Ship,Unknown,Coastal Waters,"Rowes Bay, Bowen",HFO,Unknown
187,3/10/2004,Mackay,Ship,Recreational,GBRMP,1 km East of Whitsunday Isl Craig,Sheen,Unknown
188,4/10/2004,Brisbane,Ship,Fishing,Port,Outside area of Scarborough Harbour,Bilge,Unknown
189,6/10/2004,Cairns,Ship,Commercial,Port,"Between D Finger CFB 1 and Tropical Reef slipway, Trinity Inlet/ Smiths Creek",Bilge,40
190,7/10/2004,Brisbane,Unknown,Unknown,Port,Whyte Island Tug Base,Unknown,Unknown
191,10/10/2004,Brisbane,Land,,Coastal Waters,"Golden Beach, Pumicestone Passage",Diesel,Unknown
192,12/10/2004,Brisbane,Land,,Port,Fisherman Is #3 berth,Diesel,100
193,18/10/2004,Brisbane,Land,,Coastal Waters,"Diet Park ferry terminal, St Lucia",Other,Unknown
194,18/10/2004,Brisbane,Unknown,Unknown,Port,"Brisbane River, mouth of Dobey Creek",Diesel,Unknown
195,19/10/2004,At Sea,Ship,Trading,Territorial Sea,"31 miles to sea, ESE from Pt Lookout, bearing 115",Other,Unknown
196,21/10/2004,Mackay,Ship,Commercial,GBRMP,"Centenary Cay, Swains Reef",Diesel,Unknown
197,22/10/2004,Brisbane,Ship,Trading,Port,Fishermans Islands Berth 7,Bilge,500
198,24/10/2004,Mackay,Ship,Unknown,Port,Mackay Marina,Diesel,Unknown
199,27/10/2004,Brisbane,Unknown,Unknown,Coastal Waters,Scarborough Harbour,Bilge,Unknown
200,31/10/2004,Brisbane,Ship,Trading,Port,"Brisbane River, Pikenba no 2 berth",Other,Unknown
201,31/10/2004,Brisbane,Unknown,Unknown,Port,"Moreton Bay, Woody Point, adj Woodcliffe Cres",Other,Unknown
202,1/11/2004,Townsville,Ship,Fishing,Port,South Townsville,Diesel,Unknown
203,5/11/2004,Brisbane,Ship,Commercial,Coastal Waters,"Public boat ramp, Kings Beach, Caloundra",Diesel,Unknown
204,6/11/2004,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Teneriffe, Brisbane River",Other,Unknown
205,15/11/2004,Brisbane,Unknown,Unknown,Coastal Waters,Manly Boat Harbour ,Sheen,Unknown
206,17/11/2004,Brisbane,Unknown,Unknown,Port,Bretts Wharf to Breakfast Creek,Diesel,Unknown
207,19/11/2004,Gladstone,Ship,Fishing,Port,"2 cables SSE of Turtle Island, Gladstone Harbour",Diesel,Unknown
208,20/11/2004,Brisbane,Ship,Recreational,Coastal Waters,"Wood canal, Aquatic Paradise, Birkdale",Diesel,Unknown
209,21/11/2004,Mackay,Ship,Trading,Port,Hay Point Anchorage,Bilge,Unknown
210,23/11/2004,Brisbane,Unknown,Unknown,Coastal Waters,"Gardens Pt moorings, Town Reach, Brisbane River ",Sheen,Unknown
211,6/12/2004,Brisbane,Ship,Recreational,Coastal Waters,"1 mile, Stradbroke Island",Other,Unknown
212,9/12/2004,Mackay,Ship,Recreational,GBRMP,Repulse Bay leading into Laguna Quays marina,Sheen,Unknown
213,25/12/2004,Brisbane,Unknown,Unknown,Port,"Brisbane River, Bulimba Reach- Bartons Rd, Hawthorne",Sheen,Unknown
214,26/12/2004,Townsville,Ship,Trading,GBRMP,Palm Passage,HFO,Unknown
215,29/12/2004,Cairns,Ship,Fishing,Port,Trinity Petroleum Fuel Berth,Sheen,300
216,31/01/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Weinam Creek, Redland Bay (near old water taxi terminal)",Diesel,50
217,1/02/2005,Brisbane,Land,,Coastal Waters,"Storm Water Drain into Brisbane River, New Farm (100m upstream Merthyr Rd)",Other,Unknown
218,1/02/2005,Townsville,Unknown,Unknown,Port,"Ross Creek, adjacent to Motor Boat Club, Tomlin St",Sheen,Unknown
219,3/02/2005,Brisbane,Ship,Recreational,Coastal Waters,"Raby Bay Marina, Endeavour Canal, Raby Bay",Sheen,Unknown
220,9/02/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Stanford Plaza, Downstream from Botanical Gardens",Sheen,Unknown
221,19/02/2005,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Brisbane River",Sheen,Unknown
222,24/02/2005,Brisbane,Land,,Port,"Boat Passabe , Whyte Island, Brisbane River",Sheen,Unknown
223,24/02/2005,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
224,24/02/2005,Cairns,Ship,Customs,Port,"Main Wharf, Thursday Island",Diesel,300
225,25/02/2005,Cairns,Ship,Trading,GBRMP," Inner Route, North of Cairns",Bilge,Unknown
226,7/03/2005,Cairns,Land,,Coastal Waters,"Badu Island, Torres Strait",Diesel,Unknown
227,9/03/2005,Brisbane,Ship,Recreational,Coastal Waters,"Newport Waterways Marina, Scarborough",Bilge,
228,30/03/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Cabbage Tree Creek, Sandgate",Sheen,Unknown
229,30/03/2005,Cairns,Ship,Fishing,Port,"Trinity Inlet, Cairns - betwenCoconut Slipway & Redbank Ck",Diesel,10
230,1/04/2005,Cairns,Unknown,Unknown,Port,"Commercial Fishermans Base 2, Smiths Creek, Cairns",Diesel,5
231,11/04/2005,Brisbane,Land,,Port,"Caincross Bockyard, Brisbane River",Bilge,40
232,14/04/2005,Brisbane,Unknown,Unknown,Port,Fishermans Islands #3,Sheen,Unknown
233,16/04/2005,Brisbane,Unknown,Unknown,Port,"Caincross Dockyard, Brisbane River",Sheen,Unknown
234,19/04/2005,Cairns,Ship,Defence,Port,HMAS Cairns base form HMAS Ipswich,Diesel,100
235,22/04/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Browns Slipway, Nooloola River",Sheen,Unknown
236,4/05/2005,Mackay,Ship,Recreational,Coastal Waters,"Marble Island, Duke Group",Diesel,2000
237,5/05/2005,Cairns,Ship,Unknown,Port,Thursday Island Harbour,Sheen,Unknown
238,11/05/2005,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Sandgate",Diesel,Unknown
239,20/05/2005,Cairns,Ship,Unknown,Port,"Marlin Marina, Cairns",Bilge,Unknown
240,20/05/2005,Cairns,Unknown,Unknown,Coastal Waters,Port Douglas,Sheen,Unknown
241,2/06/2005,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Sandgate",Sheen,Unknown
242,15/06/2005,Brisbane,Unknown,Unknown,Coastal Waters,"Petrie Bight, Brisbane River",Sheen,Unknown
243,20/06/2005,Brisbane,Unknown,Unknown,Port,Scarborough Harbour,Sheen,Unknown
244,29/06/2005,Brisbane,Land,Unknown,Port,"Fishermans Islands, Brisbane",Diesel,Unknown
245,17/07/2005,Cairns,Ship,Commercial,Port,Thursday Island Harbour,Diesel,180
246,10/08/2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Fatty Substance,Unknown
247,16/08/2005,Brisbane,Ship,Recreational,Coastal Waters,Scarbrough Boat Harbour,Lubricating Oil,Unknown
248,24/08/2005,Gladstone,Ship,Commercial,Port,Gladstone Harbour,Diesel,Unknown
249,25/08/2005,Cairns,Ship,Commercial,Port,"Smiths Creek, Cairns",Bilge,Unknown
250,31/08/2005,Cairns,Ship,Commercial,Port,Thursday Island Main Wharf,Diesel,Unknown
251,21/09/2005,Cairns,Unknown,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
252,22/09/2005,Mackay,Unknown,Unknown,Port,Mackay Marina,Diesel,5
253,6/10/2005,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
254,6/10/2005,Cairns,Ship,Commercial,Port,"No. 4 Wharf, Cairns",Bilge,5
255,7/10/2005,Cairns,Ship,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Bilge,Unknown
256,10/10/2005,Cairns,Ship,Recreational,Port,Mourilyan Harbour,Diesel,Unknown
257,10/10/2005,Townsville,Ship,Commercial,Port,"Berth 10, Townsville Harbour",HFO,Unknown
258,11/10/2005,Cairns,Unknown,Unknown,Port,Thursday Island Harbour,Diesel,Unknown
259,15/10/2005,Brisbane,Unknown,Unknown,Port,"Shaftston Reach, Brisbane River",Diesel,Unknown
